Region code,Region,Year,Gross enrollement ratio - Primary (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Secondary (female),Gross enrollment ratio - Secondary (male),Gross enrollment ratio - Tertiary (female),Gross enrollment ratio - Tertiary (male),Students enrolled in primary education (thousands),Students enrolled in secondary education (thousands),Students enrolled in tertiary education (thousands)
703,Slovakia,2015,98.8926,98.1341,91.4638,90.4957,61.809799999999996,40.073100000000004,216.266,454.032,184.39000000000001
703,Slovakia,2016,98.42720000000001,97.3148,91.7485,90.78190000000001,57.9469,38.1052,219.866,446.92199999999997,167.28
704,Viet Nam,2005,99.48150000000001,94.4888,0,0,13.288899999999998,18.705399999999997,7773.48,0,1354.54
704,Viet Nam,2010,107.5786,102.1841,0,0,22.6868,22.6355,6922.620000000001,0,2020.41
704,Viet Nam,2014,109.8926,108.4725,0,0,31.181900000000002,29.7143,7434.85,0,2692.12
704,Viet Nam,2015,109.1311,108.26650000000001,0,0,28.804100000000002,28.780199999999997,7543.63,0,2466.64
704,Viet Nam,2016,109.8277,110.12499999999999,0,0,31.337200000000003,25.323,7790.01,0,2307.36
704,Viet Nam,2017,107.66869999999999,108.1904,0,0,0,0,7801.56,0,0
705,Slovenia,2005,100.96120000000002,99.25529999999999,96.79180000000001,97.3604,93.41350000000001,65.6102,93.15599999999999,181.29899999999998,112.228
705,Slovenia,2010,99.4214,98.49190000000002,98.1109,99.17839999999998,107.3338,72.2774,106.883,138.354,114.87299999999999
705,Slovenia,2014,99.0925,99.1913,109.84100000000001,110.07679999999999,97.6108,67.3694,111.648,145.17899999999997,90.62199999999999
705,Slovenia,2015,99.19269999999999,99.58720000000001,109.9325,109.618,95.61710000000001,65.2669,115.56,143.24699999999999,85.616
705,Slovenia,2016,99.1266,99.4903,116.3986,114.3417,91.73150000000001,64.18569999999998,119.563,148.89600000000002,80.798
706,Somalia,2007,30.2911,16.757800000000003,3.7577000000000003,8.168899999999999,0,0,457.132,86.929,0
710,South Africa,2005,104.5428,100.71310000000001,93.0991,87.2208,0,0,7314.45,4657.67,0
710,South Africa,2010,99.8994,95.8487,94.68069999999999,89.3532,0,0,7024.37,4689.6,0
710,South Africa,2014,100.6331,96.3092,106.4238,97.2313,23.199800000000003,16.429,7195.18,5220.98,1018.54
710,South Africa,2015,106.5581,98.99060000000001,101.9791,103.5185,0,0,7555.84,5279.2,1050.86
710,South Africa,2016,104.17439999999999,100.32339999999999,104.92420000000001,96.01760000000002,23.9577,17.0535,7569.92,5164.48,1053.61
716,Zimbabwe,2003,98.51720000000002,97.23110000000001,36.7533,40.789500000000004,0,0,2361.59,758.229,0
716,Zimbabwe,2010,0,0,0,0,5.379600000000001,6.776300000000001,0,0,94.611
716,Zimbabwe,2013,99.4543,97.9307,46.6504,47.578500000000005,5.4534,6.492,2663.19,957.4609999999999,94.115
716,Zimbabwe,2015,0,0,0,0,8.038699999999999,8.940999999999999,0,0,135.575
724,Spain,2005,103.5667,102.1913,121.0565,113.631,74.17399999999999,60.4404,2484.9,3107.82,1809.35
724,Spain,2010,105.69069999999999,105.1965,125.5251,122.76710000000001,87.1211,70.3032,2720.9900000000002,3185.01,1878.97
724,Spain,2014,103.63829999999999,104.7927,130.11579999999998,129.5943,96.8147,81.26610000000001,2960.63,3288.42,1982.1599999999999
724,Spain,2015,103.8497,105.04740000000001,129.317,129.6341,97.03120000000001,82.23120000000002,3010.4,3313.13,1963.92
724,Spain,2016,103.3214,104.4547,128.4126,127.513,99.16539999999999,83.5089,3027.75,3329.3900000000003,1968.7
728,South Sudan,2011,101.7562,67.39529999999999,6.1266,11.97,0,0,1450.74,133.999,0
728,South Sudan,2015,77.8033,55.103100000000005,6.8857,12.8238,0,0,1273.85,164.135,0
729,Sudan,2005,67.4736,59.20550000000001,37.341899999999995,40.16270000000001,12.9793,11.490400000000001,3176.82,1344.32,363.953
729,Sudan,2010,75.7564,68.083,39.575900000000004,45.6374,17.261,14.730299999999998,4024.3,1687.36,522.7740000000001
729,Sudan,2014,75.4235,69.8456,42.9133,47.1199,17.519900000000003,16.460599999999996,4387.969999999999,1974.31,632.377
729,Sudan,2015,76.74480000000001,70.3483,45.5302,46.12270000000001,17.1461,16.853,4518.42,2059.72,653.0880000000001
729,Sudan,2017,79.54960000000001,75.10829999999999,47.26820000000001,46.4615,0,0,4899.660000000001,2205.03,0
736,Sudan [former],2000,0,0,0,0,0,0,2566.5,979.514,204.11399999999998
736,Sudan [former],2005,0,0,0,0,0,0,3278.09,1369.74,0
736,Sudan [former],2009,0,0,0,0,0,0,4744.469999999999,1837.46,0
740,Suriname,2002,105.68529999999998,104.2563,88.73720000000002,63.356199999999994,15.798799999999998,9.5508,64.023,42.253,5.186
740,Suriname,2005,106.68849999999999,104.59160000000001,79.3128,59.5819,0,0,65.527,45.818,0
740,Suriname,2010,116.67089999999999,115.9282,81.0834,63.1507,0,0,70.98100000000001,50.164,0
740,Suriname,2014,117.4756,119.16999999999999,86.1073,62.7592,0,0,70.492,51.784,0
